#z_med log10(Mstar) log10(sSFR) log10(Mhalo) log10(Mdust) log10(Tdust) log10(Av) log10(rg) 
0.9 11.0202445984 0.0486750602722 12.79818964 8.02169310776 42.3015422821 1.5326795578 4.68244123459
1.1 10.8683495522 0.443075656891 12.6651058197 7.76698102981 43.5723161697 1.55974960327 3.86098647118
1.3 11.0620634556 0.358126878738 12.8732974529 7.84181240672 43.0431632996 1.67175102234 3.15553236008
1.5 10.7903900146 0.422098636627 12.5924379826 7.89680763681 43.2240009308 1.65337753296 2.75861728191
1.7 10.8677113056 0.464854001999 12.5927834511 7.86587655892 43.6098489761 1.71743631363 2.73151409626
1.9 10.7881097794 0.453667640686 12.6033775806 7.86214799947 43.3886032104 1.72480964661 2.27829042077
2.1 10.6953909397 0.571686029434 12.5366034508 7.76266761438 43.8600673676 1.81754875183 1.93212172389
2.3 10.6730742455 0.581648588181 12.4952487946 7.79847925738 43.5146799088 1.84734582901 1.80976068974
2.5 10.6251006126 0.617095947266 12.4126496315 7.76197517517 43.8023319244 1.80517911911 1.82613450289
2.7 10.6493599415 0.677596330643 12.4517333508 7.90916775869 43.9663619995 1.84348773956 1.52980309725
2.9 10.5840353966 0.629180192947 12.3504426479 7.74114936084 43.8214540482 1.97278690338 1.54180836678
3.1 10.5626344681 0.689907550812 12.3367338181 7.74904109566 44.015666008 2.1006565094 1.31789019704
3.3 10.5819222927 0.763304233551 12.4189267159 7.81747114966 43.990316391 2.02686500549 1.21803615987
3.5 10.5241582394 0.815091371536 12.2310531139 7.79539073938 44.2354640961 2.05213022232 1.5050201416
