#z Nz
0.1 56.1070476742
0.3 26.6941019771
0.5 25.3346801172
0.7 20.6384955101
0.9 32.6261246387
1.1 36.5808064131
1.3 40.1647367712
1.5 42.2656614638
1.7 57.2193019232
1.9 54.0061229815
2.1 41.6477424366
2.3 44.1194185455
2.5 50.4221926235
2.7 38.187395884
2.9 28.6714428643
3.1 18.5375708175
3.3 17.301732763
3.5 12.9762995722
3.7 13.8413862104
3.9 9.51595301963
4.1 7.16786071608
4.3 3.58393035804
4.5 1.2358380545
4.7 0.247167610899
4.9 0.741502832698
5.1 1.2358380545
5.3 0.0
5.5 0.0
5.7 0.0
5.9 0.0
