#z Nz
0.1 41.1534072148
0.3 31.0195351679
0.5 34.7270493314
0.7 36.2100549968
0.9 52.8938687325
1.1 64.8814978611
1.3 77.6106298224
1.5 86.014328593
1.7 117.157447566
1.9 111.596176321
2.1 105.540569854
2.3 108.012245963
2.5 119.50553987
2.7 86.3850800094
2.9 64.2635788339
3.1 56.7249667014
3.3 46.8382622654
3.5 36.2100549968
3.7 31.3902865842
3.9 22.6158363973
4.1 16.0658947085
4.3 9.02161779783
4.5 3.70751416349
4.7 3.95468177439
4.9 4.94335221799
5.1 1.60658947085
5.3 0.617919027249
5.5 0.370751416349
5.7 0.12358380545
5.9 0.370751416349
