#z Nz
0.1 41.2699290885
0.3 30.0838292123
0.5 33.3040700858
0.7 41.9478745355
0.9 55.1678107528
1.1 61.0150902335
1.3 84.573694518
1.5 97.9631170971
1.7 112.793173751
1.9 116.437130529
2.1 109.149216973
2.3 105.166287472
2.5 106.861151089
2.7 84.0652354328
2.9 63.1336697555
3.1 54.4898653057
3.3 42.5410768017
3.5 34.4057314372
3.7 26.9483315198
3.9 17.626581623
4.1 12.1182748658
4.3 7.1184271939
4.5 3.64395677783
4.7 2.71178178815
4.9 3.98292950135
5.1 1.35589089408
5.3 0.593202266159
5.5 0.847431808798
5.7 0.0847431808798
5.9 0.254229542639
