#z Nz
0.1 41.6113942585
0.3 30.2707626996
0.5 33.4984809125
0.7 38.2964404182
0.9 51.3817845246
1.1 62.4607092014
1.3 84.3568516729
1.5 90.6378168439
1.7 117.855332585
1.9 111.836074296
2.1 115.151028137
2.3 113.05737308
2.5 108.259413574
2.7 84.618558555
2.9 66.299076806
3.1 51.469020152
3.3 42.0475723954
3.5 38.1219691634
3.7 28.7005214068
3.9 19.2790736502
4.1 14.7428210266
4.3 6.28096517109
4.5 4.53625262357
4.7 4.62348825094
4.9 6.36820079847
5.1 1.39577003802
5.3 0.348942509505
5.5 0.69788501901
5.7 0.0872356273763
5.9 0.0872356273763
